"Threat name: GandCrab.exe 
Threat ID: 1305271162696709733 
Mitigation name: remediate 
Mitigation Status: success"
Timestamp (UTC),Path,Registry Key,Status
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\SendTo\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\afterSentDocuments\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\Documents\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.238+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\MMC\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\AccountPictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Videos\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\AccountPictures\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Searches\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Vault\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\Public\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Templates\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.128+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Start Menu\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Local\Microsoft\Windows\INetCookies\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Saved Games\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Recent\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Recent\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Favorites\Links\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Crypto\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Printer Shortcuts\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Printer Shortcuts\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\Saved Pictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\Saved Pictures\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Network\Connections\Pbk\_hiddenPbk\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\Camera Roll\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\Camera Roll\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.206+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\afterSentDocuments\docs2\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Adobe\Flash Player\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Pictures\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\OneDrive\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.253+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\ImplicitAppShortcuts\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.144+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Network Shortcuts\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Windows\Network Shortcuts\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.222+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Network\Connections\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.238+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\MMC\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Documents\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.269+00:00,\Device\HarddiskVolume2\Users\ClarkeC\AppData\Roaming\Microsoft\Crypto\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Music\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Links\38885c3238885bd86e.lock,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Links\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Favorites\Links\KRAB-DECRYPT.txt,,success
2021-12-06 22:22:07.159+00:00,\Device\HarddiskVolume2\Users\ClarkeC\Favorites\38885c3238885bd86e.lock,,success
